id,default_code,barcode
__export__.product_product_595_02cffe92,PJO-VEA-PEQ-K1,7894366996809
__export__.product_product_596_76bfd35e,PJO-VEA-PEQ-K3,7897282713154
__export__.product_product_597_1c538ad4,PJO-VEA-PEQ-K6,7898158404053
__export__.product_product_598_75efe290,PJO-VEA-PEQ-K9,7894143999580
__export__.product_product_599_41afcda0,PJO-VEA-PEQ-K12,7896889867901
__export__.product_product_600_f240e290,PJO-VEA-PEQ-K15,7896887624766
__export__.product_product_601_c99403cf,PJO-VEA-MED-K1,7891850040895
__export__.product_product_602_37ca750e,PJO-VEA-MED-K3,7898932568179
__export__.product_product_603_b3831f9c,PJO-VEA-MED-K6,7895392729119
__export__.product_product_604_3f5d94f5,PJO-VEA-MED-K9,7898268047133
__export__.product_product_605_edad36f2,PJO-VEA-MED-K12,7895828528408
__export__.product_product_606_802118bb,PJO-VEA-MED-K15,7890999638000
__export__.product_product_607_c77a53d4,PJO-PRE-PEQ-K1,7894189649920
__export__.product_product_608_c14ffd97,PJO-PRE-PEQ-K3,7898076276756
__export__.product_product_609_28c28a9c,PJO-PRE-PEQ-K6,7898915974935
__export__.product_product_610_f4792c1a,PJO-PRE-PEQ-K9,7897477602461
__export__.product_product_611_a12ab4b6,PJO-PRE-PEQ-K12,7899823871880
__export__.product_product_612_bc9e66e8,PJO-PRE-PEQ-K15,7899457248058
__export__.product_product_613_1e098225,PJO-PRE-MED-K1,7898852106123
__export__.product_product_614_a2e39a6a,PJO-PRE-MED-K3,7894340858949
__export__.product_product_615_b9734912,PJO-PRE-MED-K6,7897650418308
__export__.product_product_616_35548850,PJO-PRE-MED-K9,7890666748025
__export__.product_product_617_46ec58a0,PJO-PRE-MED-K12,7898308243990
__export__.product_product_618_74cffa1e,PJO-PRE-MED-K15,7897014799050
__export__.product_product_619_91511d40,PJO-BRD-PEQ-K1,7894838857478
__export__.product_product_620_db32fbb1,PJO-BRD-PEQ-K3,7894070177587
__export__.product_product_621_4cc18dfd,PJO-BRD-PEQ-K6,7893895871748
__export__.product_product_622_e63dd7eb,PJO-BRD-PEQ-K9,7896760703526
__export__.product_product_623_5055114a,PJO-BRD-PEQ-K12,7897828741214
__export__.product_product_624_472accbc,PJO-BRD-PEQ-K15,7891316817320
__export__.product_product_625_770a9881,PJO-BRD-MED-K1,7899111878874
__export__.product_product_626_59f03583,PJO-BRD-MED-K3,7895869464345
