"id","standard_price","name","sell_only_by_packaging","lst_price","default_code","type","uom_id","product_template_variant_value_ids","barcode"
"__export__.product_product_595_02cffe92","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00327","consu","Unidades","Cor: Verde Água,Tamanho: Pequeno,Quantidade: 1 unidade","0000000003278"
"__export__.product_product_596_76bfd35e","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00328","consu","Unidades","Cor: Verde Água,Tamanho: Pequeno,Quantidade: Kit 3","0000000003285"
"__export__.product_product_597_1c538ad4","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00329","consu","Unidades","Cor: Verde Água,Tamanho: Pequeno,Quantidade: Kit 6","0000000003292"
"__export__.product_product_598_75efe290","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00330","consu","Unidades","Cor: Verde Água,Tamanho: Pequeno,Quantidade: Kit 9","0000000003308"
"__export__.product_product_599_41afcda0","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00331","consu","Unidades","Cor: Verde Água,Tamanho: Pequeno,Quantidade: Kit 12","0000000003315"
"__export__.product_product_600_f240e290","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00332","consu","Unidades","Cor: Verde Água,Tamanho: Pequeno,Quantidade: Kit 15","0000000003322"
"__export__.product_product_601_c99403cf","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00333","consu","Unidades","Cor: Verde Água,Tamanho: Médio,Quantidade: 1 unidade","0000000003339"
"__export__.product_product_602_37ca750e","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00334","consu","Unidades","Cor: Verde Água,Tamanho: Médio,Quantidade: Kit 3","0000000003346"
"__export__.product_product_603_b3831f9c","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00335","consu","Unidades","Cor: Verde Água,Tamanho: Médio,Quantidade: Kit 6","0000000003353"
"__export__.product_product_604_3f5d94f5","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00336","consu","Unidades","Cor: Verde Água,Tamanho: Médio,Quantidade: Kit 9","0000000003360"
"__export__.product_product_605_edad36f2","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00337","consu","Unidades","Cor: Verde Água,Tamanho: Médio,Quantidade: Kit 12","0000000003377"
"__export__.product_product_606_802118bb","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00338","consu","Unidades","Cor: Verde Água,Tamanho: Médio,Quantidade: Kit 15","0000000003384"
"__export__.product_product_607_c77a53d4","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00339","consu","Unidades","Cor: Preto,Tamanho: Pequeno,Quantidade: 1 unidade","0000000003391"
"__export__.product_product_608_c14ffd97","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00340","consu","Unidades","Cor: Preto,Tamanho: Pequeno,Quantidade: Kit 3","0000000003407"
"__export__.product_product_609_28c28a9c","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00341","consu","Unidades","Cor: Preto,Tamanho: Pequeno,Quantidade: Kit 6","0000000003414"
"__export__.product_product_610_f4792c1a","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00342","consu","Unidades","Cor: Preto,Tamanho: Pequeno,Quantidade: Kit 9","0000000003421"
"__export__.product_product_611_a12ab4b6","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00343","consu","Unidades","Cor: Preto,Tamanho: Pequeno,Quantidade: Kit 12","0000000003438"
"__export__.product_product_612_bc9e66e8","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00344","consu","Unidades","Cor: Preto,Tamanho: Pequeno,Quantidade: Kit 15","0000000003445"
"__export__.product_product_613_1e098225","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00345","consu","Unidades","Cor: Preto,Tamanho: Médio,Quantidade: 1 unidade","0000000003452"
"__export__.product_product_614_a2e39a6a","0.0","Porta Joias (unitário e vendido)","","0.0","PR/00346","consu","Unidades","Cor: Preto,Tamanho: Médio,Quantidade: Kit 3","0000000003469"
